id,age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out,length_of_stay
114,22,F,Caucasian,Less than 25,High,Male,0,-1.0,8,0,0,2013-02-18 12:24:07,2013-04-17 10:32:09,57
115,26,F,African-American,25 - 45,Low,Female,1,-1.0,4,1,1,2013-11-07 09:01:45,2013-11-09 09:07:50,2
119,32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,2013-03-03 03:33:48,2013-03-04 07:08:59,1
120,41,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,2013-02-27 09:49:07,2013-03-01 01:59:16,1
122,30,M,African-American,25 - 45,High,Male,8,-1.0,10,1,1,2013-02-20 02:14:37,2013-02-21 07:47:06,1
128,25,F,African-American,25 - 45,High,Male,14,-1.0,10,1,1,2013-04-19 02:20:32,2013-04-26 05:45:46,7
131,22,F,African-American,Less than 25,High,Male,2,0.0,9,1,1,2014-01-16 02:39:46,2014-02-15 04:39:31,30
136,35,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,0,2013-03-29 06:55:39,2013-03-30 03:12:37,0
137,36,F,African-American,25 - 45,Medium,Male,9,0.0,7,1,1,2014-04-29 12:24:22,2014-05-03 04:26:44,3
138,26,F,Caucasian,25 - 45,High,Male,7,0.0,8,1,1,2013-01-12 04:53:07,2013-01-12 07:28:51,0
142,25,F,Caucasian,25 - 45,High,Male,9,-1.0,8,1,1,2014-12-12 07:27:40,2014-12-13 07:23:49,0
145,20,F,Caucasian,Less than 25,Medium,Female,0,-1.0,7,0,0,2013-11-13 11:21:14,2013-11-14 01:36:21,0
146,39,F,Caucasian,25 - 45,Low,Male,2,-2.0,1,1,1,2013-02-11 12:50:21,2013-02-11 07:33:17,-1
148,54,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,2013-04-15 01:07:24,2013-04-15 07:56:24,0
151,19,M,African-American,Less than 25,Low,Male,1,-10.0,4,1,1,2014-11-04 07:39:38,2014-11-13 10:02:51,9
153,30,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,0,2013-09-08 09:39:18,2013-09-09 08:03:09,0
154,39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,1,1,2013-09-04 11:36:38,2013-09-06 04:07:01,1
156,24,F,Caucasian,Less than 25,Medium,Male,8,-1.0,6,1,1,2013-04-10 05:59:23,2013-04-22 10:32:05,12
157,30,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,2013-08-28 11:22:24,2013-09-03 10:40:45,5
158,31,M,Caucasian,25 - 45,Medium,Male,0,-1.0,5,0,0,2014-02-20 09:46:47,2014-03-31 09:04:43,38
159,39,F,Caucasian,25 - 45,Low,Female,1,-1.0,4,0,0,2013-02-25 07:42:47,2013-06-12 04:31:04,106
163,43,F,Caucasian,25 - 45,Low,Male,1,-30.0,1,0,0,2013-07-16 06:41:37,2013-07-17 07:35:00,1
166,21,F,African-American,Less than 25,High,Male,3,-1.0,9,1,1,2013-03-01 01:43:35,2013-03-07 08:20:12,6
169,38,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,1,2013-01-15 08:16:11,2013-01-18 04:32:15,2
171,34,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,2013-02-15 10:54:22,2013-03-02 09:04:47,14
173,33,F,African-American,25 - 45,Medium,Male,5,0.0,5,1,1,2013-11-17 01:23:30,2013-11-17 08:15:06,0
174,37,F,African-American,25 - 45,Low,Male,3,0.0,2,0,0,2013-11-18 03:46:24,2013-11-19 10:18:36,1
175,42,F,Caucasian,25 - 45,Low,Male,1,0.0,2,1,1,2013-03-16 03:53:03,2013-03-17 01:43:20,0
176,41,F,African-American,25 - 45,High,Male,10,0.0,9,1,1,2013-09-06 04:25:05,2014-03-01 04:39:46,176
177,22,F,African-American,Less than 25,Low,Male,0,-1.0,4,1,1,2013-11-12 03:57:04,2013-11-13 01:01:29,0
178,33,F,African-American,25 - 45,High,Male,28,-1.0,8,1,1,2014-01-10 08:06:40,2014-01-12 04:07:52,1
180,31,M,African-American,25 - 45,Medium,Male,1,-1.0,7,0,0,2013-10-13 03:47:49,2013-10-14 08:18:17,1
183,31,F,Caucasian,25 - 45,High,Male,13,-1.0,10,1,1,2013-02-25 06:43:30,2014-06-11 12:57:06,471
184,27,F,African-American,25 - 45,High,Male,3,-1.0,9,1,1,2014-11-14 12:10:00,2014-11-15 11:29:02,0
189,52,M,Caucasian,Greater than 45,High,Male,3,-2.0,9,0,0,2013-07-27 10:50:36,2013-07-28 02:01:45,0
190,33,F,African-American,25 - 45,High,Male,19,-1.0,10,1,1,2013-12-28 10:22:08,2013-12-29 07:10:39,0
194,42,F,Caucasian,25 - 45,Low,Male,6,-4.0,3,0,0,2013-09-13 12:01:41,2013-09-13 09:01:37,-1
195,25,F,Caucasian,25 - 45,Low,Female,2,-1.0,4,0,0,2013-12-22 01:36:59,2013-12-25 02:33:32,3
197,30,M,Caucasian,25 - 45,Low,Male,1,-20.0,2,0,0,2013-10-30 06:36:57,2013-11-03 02:08:43,3
202,28,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,1,2014-12-18 11:16:49,2014-12-19 08:34:46,0
203,24,M,African-American,Less than 25,Low,Female,0,-1.0,2,0,0,2014-02-06 01:25:28,2014-02-08 12:00:39,2
206,29,F,Caucasian,25 - 45,Low,Female,10,-1.0,4,1,1,2014-11-18 07:08:18,2014-11-25 09:31:21,7
208,44,M,Caucasian,25 - 45,Low,Male,2,0.0,2,1,1,2014-01-27 02:05:45,2014-01-27 01:32:12,-1
210,32,F,African-American,25 - 45,Medium,Male,3,-1.0,7,1,1,2013-01-01 07:06:35,2013-01-09 08:36:21,8
213,31,M,Caucasian,25 - 45,Low,Male,2,-16.0,3,1,1,2013-08-20 05:28:11,2013-09-04 08:35:41,15
215,31,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,0,2013-01-16 05:37:32,2013-01-17 07:15:11,1
216,59,F,Caucasian,Greater than 45,Low,Male,1,-1.0,2,1,1,2013-04-01 11:13:32,2013-04-02 01:06:22,0
220,20,F,African-American,Less than 25,High,Female,1,0.0,10,0,0,2013-11-20 09:36:33,2013-11-23 04:06:00,2
222,43,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,2013-05-14 04:01:02,2013-05-15 03:11:16,0
223,38,F,African-American,25 - 45,High,Male,9,-1.0,8,1,1,2014-04-18 02:31:13,2014-05-01 05:39:49,13
224,32,F,African-American,25 - 45,Medium,Male,11,-2.0,6,1,1,2014-12-17 02:03:04,2014-12-18 08:41:05,1
225,33,M,African-American,25 - 45,Medium,Male,8,-1.0,5,1,1,2013-12-25 07:37:38,2013-12-26 01:30:44,0
227,31,F,African-American,25 - 45,Low,Female,0,-1.0,3,1,1,2014-10-22 11:17:38,2014-10-24 06:08:10,1
228,33,F,African-American,25 - 45,High,Female,7,-1.0,9,1,1,2013-01-10 01:18:15,2013-02-05 05:36:46,26
229,27,F,African-American,25 - 45,High,Male,2,-1.0,9,1,1,2013-04-15 05:49:27,2013-04-16 07:48:50,1
231,20,F,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,2013-12-07 03:39:31,2013-12-07 07:28:49,0
232,26,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,0,2014-01-25 04:45:14,2014-01-26 02:13:40,0
234,61,F,African-American,Greater than 45,Low,Female,1,-1.0,1,1,1,2013-04-26 07:00:16,2013-04-27 01:09:09,0
238,32,F,African-American,25 - 45,High,Female,4,-7.0,10,1,1,2014-04-16 09:55:10,2014-04-23 05:27:00,6
241,26,M,African-American,25 - 45,Low,Female,2,-1.0,4,1,1,2013-03-09 07:15:19,2013-03-10 01:31:38,0
243,39,M,Caucasian,25 - 45,Low,Male,1,-1.0,4,0,0,2014-02-10 10:59:01,2014-02-14 09:09:06,3
244,30,F,Caucasian,25 - 45,Medium,Female,3,0.0,7,1,1,2013-05-02 04:01:43,2014-10-14 06:03:58,530
245,30,F,African-American,25 - 45,Medium,Male,1,0.0,7,0,0,2013-03-02 01:19:52,2013-05-11 04:23:17,70
246,48,M,Caucasian,Greater than 45,Low,Male,2,-1.0,2,0,0,2013-09-25 12:51:27,2013-09-26 08:42:11,0
248,22,F,African-American,Less than 25,Low,Male,1,-1.0,2,0,0,2013-05-15 12:16:21,2013-05-16 09:03:09,0
249,46,F,Caucasian,Greater than 45,Low,Male,6,22.0,1,1,1,2013-03-05 09:31:17,2013-03-28 01:40:17,22
252,31,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,2013-04-20 02:52:11,2013-04-22 09:19:35,2
254,25,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,1,2013-09-16 03:35:39,2013-09-18 01:39:28,1
258,32,F,African-American,25 - 45,Medium,Female,5,-1.0,7,0,0,2013-02-17 07:51:04,2013-02-18 10:17:02,1
260,62,F,African-American,Greater than 45,Low,Male,8,0.0,4,0,0,2013-02-05 12:23:14,2013-02-21 04:06:55,15
265,28,M,African-American,25 - 45,Medium,Male,6,-1.0,6,1,1,2013-03-17 09:01:58,2013-03-18 01:40:10,0
268,78,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,1,1,2014-09-19 10:36:52,2014-09-20 07:10:15,0
269,56,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,2014-03-02 03:51:04,2014-03-03 07:47:20,1
275,22,F,African-American,Less than 25,Medium,Male,1,0.0,5,1,1,2014-04-24 01:23:50,2014-04-24 01:25:52,0
277,47,M,African-American,Greater than 45,High,Male,23,-1.0,8,1,1,2013-02-02 08:19:13,2013-02-03 05:06:15,0
278,23,M,African-American,Less than 25,Low,Male,0,-1.0,2,1,1,2014-01-05 11:08:48,2014-01-06 12:02:14,1
281,66,F,African-American,Greater than 45,Low,Male,3,-10.0,1,1,0,2013-06-01 11:04:44,2013-06-03 11:25:14,2
282,45,M,Caucasian,Greater than 45,Low,Male,8,0.0,4,1,1,2014-02-17 02:38:50,2014-04-29 04:18:29,71
287,37,M,African-American,25 - 45,High,Male,2,0.0,9,1,1,2013-12-24 03:40:12,2013-12-24 08:53:51,0
288,39,F,Caucasian,25 - 45,Low,Male,0,0.0,4,1,1,2014-03-02 05:08:46,2014-03-03 03:17:00,0
289,26,F,African-American,25 - 45,High,Male,9,0.0,9,1,1,2014-11-14 01:28:54,2015-02-01 08:34:27,79
291,45,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,0,2013-01-31 04:11:55,2014-01-25 03:27:03,358
293,23,F,African-American,Less than 25,Low,Male,0,-1.0,3,1,1,2014-04-25 10:29:59,2014-04-26 09:57:20,0
294,34,M,African-American,25 - 45,Low,Male,2,0.0,2,1,0,2014-01-31 12:35:27,2014-02-26 05:50:20,25
297,23,M,African-American,Less than 25,Low,Female,1,-1.0,4,0,0,2013-08-20 11:57:06,2013-08-21 07:50:16,0
299,50,F,Caucasian,Greater than 45,Low,Male,1,-4.0,1,0,0,2013-09-12 09:32:07,2013-09-14 03:06:18,1
300,37,M,Caucasian,25 - 45,Low,Female,0,-1.0,3,0,0,2013-11-07 02:53:47,2013-11-07 09:00:57,0
301,44,M,Caucasian,25 - 45,Low,Male,4,0.0,4,0,0,2013-01-06 04:51:37,2013-01-07 10:41:46,1
302,35,F,African-American,25 - 45,High,Female,23,-1.0,9,1,1,2014-07-12 03:02:54,2014-07-14 05:19:00,2
306,26,F,African-American,25 - 45,High,Male,2,-1.0,10,1,1,2013-04-17 06:43:21,2013-04-18 10:07:23,1
308,27,M,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,2013-03-25 12:25:41,2013-03-28 05:58:56,2
310,28,F,African-American,25 - 45,High,Female,0,0.0,8,0,0,2013-10-29 04:01:57,2013-11-27 06:51:07,29
313,28,F,Caucasian,25 - 45,High,Female,7,-1.0,9,1,1,2013-10-09 09:15:07,2013-10-10 09:46:20,1
315,38,F,African-American,25 - 45,Low,Male,2,-1.0,1,0,0,2013-03-19 04:21:06,2013-03-20 09:34:48,1
317,28,F,African-American,25 - 45,High,Female,1,-1.0,9,0,0,2013-01-01 06:27:15,2013-02-09 02:24:08,38
319,56,F,Caucasian,Greater than 45,Low,Male,7,-1.0,1,1,1,2013-03-19 11:00:49,2013-03-20 01:32:28,0
320,38,F,African-American,25 - 45,High,Male,15,-1.0,9,0,0,2013-02-18 09:26:05,2013-02-20 03:43:56,1
321,28,M,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,2013-10-30 07:57:19,2013-10-31 01:45:23,0
326,51,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,1,1,2014-01-12 08:37:58,2014-01-13 02:00:36,0
327,51,M,Caucasian,Greater than 45,Low,Male,0,-1.0,2,0,0,2013-10-30 11:27:14,2013-10-31 08:46:16,0
330,48,F,African-American,Greater than 45,Low,Male,0,-1.0,1,0,0,2013-01-12 06:40:25,2013-01-13 09:03:52,1
331,37,F,Caucasian,25 - 45,Low,Male,4,0.0,3,1,1,2013-04-17 04:44:25,2013-04-19 01:08:53,1
332,30,F,African-American,25 - 45,Medium,Female,2,-1.0,7,0,0,2013-05-12 06:56:40,2013-05-15 02:06:25,2
333,41,M,African-American,25 - 45,Medium,Female,5,0.0,6,0,0,2013-11-05 02:09:51,2013-11-05 07:57:55,0
334,27,F,African-American,25 - 45,High,Male,11,-1.0,10,1,1,2013-04-23 07:22:20,2013-12-02 11:28:01,223
335,37,M,African-American,25 - 45,Low,Male,0,-1.0,1,1,0,2013-02-16 07:22:50,2013-02-18 02:10:02,1
337,54,F,African-American,Greater than 45,High,Male,11,-1.0,9,0,0,2013-05-06 08:51:14,2013-09-13 05:58:39,129
338,23,F,African-American,Less than 25,High,Male,2,-1.0,9,0,0,2013-05-08 10:09:34,2013-07-19 06:36:57,71
344,41,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0,2014-01-25 09:44:01,2014-01-26 06:31:19,0
345,52,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,2013-05-15 11:15:03,2013-05-16 08:50:44,0
347,43,F,Caucasian,25 - 45,Low,Male,13,0.0,4,1,1,2013-02-20 01:55:05,2013-04-12 09:45:26,51
348,52,F,African-American,Greater than 45,Low,Male,0,-1.0,4,0,0,2014-02-03 03:50:35,2014-02-17 02:20:23,13
349,28,F,Caucasian,25 - 45,Low,Male,1,-3.0,1,0,0,2013-05-14 04:20:05,2013-05-17 10:53:34,3
350,30,M,African-American,25 - 45,High,Male,11,-1.0,9,1,1,2014-08-05 03:19:41,2014-08-06 08:40:28,1
351,28,F,Caucasian,25 - 45,Medium,Male,1,0.0,5,0,0,2013-09-27 04:35:20,2013-10-03 08:39:37,6
354,22,F,African-American,Less than 25,Low,Male,0,-1.0,4,0,0,2013-02-21 03:42:13,2013-02-22 01:52:11,0
355,30,F,African-American,25 - 45,Low,Male,4,0.0,2,0,0,2013-03-05 04:44:39,2013-03-05 01:41:22,-1
357,31,F,Caucasian,25 - 45,High,Male,0,-1.0,8,1,1,2014-12-30 04:53:40,2015-01-30 04:31:37,30
358,37,F,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,1,2014-04-18 05:22:38,2014-05-23 05:31:44,35
359,32,F,African-American,25 - 45,High,Male,14,-1.0,9,0,0,2013-12-16 05:05:35,2013-12-17 08:47:25,1
361,53,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,0,2013-01-15 05:53:17,2013-01-16 07:01:06,1
362,28,F,African-American,25 - 45,High,Male,25,29.0,8,1,1,2014-01-08 11:38:20,2014-02-03 10:50:45,25
363,44,M,Caucasian,25 - 45,Medium,Male,8,-1.0,5,1,1,2013-04-10 09:31:05,2013-04-15 09:09:29,4
364,25,F,African-American,25 - 45,Low,Male,0,0.0,3,0,0,2013-09-06 01:00:30,2013-09-06 09:12:00,0
366,22,M,Caucasian,Less than 25,High,Male,1,0.0,8,1,1,2013-01-31 12:38:45,2013-02-06 11:18:24,5
382,23,F,Caucasian,Less than 25,Medium,Female,5,-1.0,5,1,1,2014-03-11 07:31:05,2014-03-12 01:39:43,0
384,29,M,African-American,25 - 45,Low,Male,1,-1.0,3,0,0,2014-03-31 02:14:12,2014-04-01 01:22:49,0
385,20,F,African-American,Less than 25,High,Male,1,-1.0,8,1,1,2013-11-17 04:24:59,2013-11-18 07:25:07,1
386,30,F,African-American,25 - 45,Medium,Male,2,-1.0,6,1,1,2013-02-13 11:48:59,2013-02-15 05:23:42,1
390,27,F,African-American,25 - 45,Low,Male,4,-1.0,4,0,0,2013-08-06 09:00:30,2013-08-07 08:23:22,0
393,37,F,African-American,25 - 45,Low,Female,2,0.0,1,0,0,2013-12-03 12:48:34,2013-12-04 07:43:54,0
396,20,F,African-American,Less than 25,High,Male,0,-1.0,8,0,0,2014-02-18 09:37:20,2014-02-21 04:07:45,2
399,52,F,African-American,Greater than 45,Low,Female,0,-1.0,1,0,0,2013-08-01 10:03:28,2013-08-02 02:00:46,0
400,23,F,African-American,Less than 25,Low,Female,0,-1.0,4,1,1,2014-08-01 09:19:33,2014-08-05 04:16:00,3
402,48,F,African-American,Greater than 45,Low,Female,0,-1.0,2,0,0,2013-11-12 10:24:10,2013-11-14 06:47:41,1
404,25,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,2013-04-20 02:39:55,2013-04-20 07:15:12,0
405,27,F,Caucasian,25 - 45,Medium,Male,0,-1.0,6,1,1,2013-04-07 11:02:06,2013-04-09 04:14:39,1
406,30,F,African-American,25 - 45,Medium,Male,11,0.0,7,1,1,2014-10-02 03:21:16,2014-10-03 03:32:38,1
407,22,M,African-American,Less than 25,High,Male,3,-1.0,10,1,1,2013-01-10 03:17:29,2013-01-11 11:36:36,1
408,22,F,Caucasian,Less than 25,Low,Female,1,-1.0,3,0,0,2013-12-30 10:48:07,2013-12-31 09:49:50,0
411,41,M,African-American,25 - 45,Low,Female,2,-1.0,3,0,0,2013-08-04 07:42:27,2013-08-05 06:31:46,0
416,52,F,African-American,Greater than 45,Medium,Male,3,0.0,6,1,1,2013-12-10 12:12:27,2014-01-04 10:22:47,24
417,43,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,2013-04-04 07:55:57,2013-05-15 08:09:02,41
423,37,F,Caucasian,25 - 45,Low,Male,3,-4.0,1,0,0,2014-03-01 11:39:37,2014-03-04 09:02:34,2
425,70,M,Caucasian,Greater than 45,Low,Male,1,-13.0,1,0,0,2013-04-05 11:19:07,2013-04-18 10:45:47,12
428,46,F,Caucasian,Greater than 45,Low,Male,3,-1.0,4,0,0,2013-04-30 04:31:44,2013-05-14 09:41:21,14
429,21,M,African-American,Less than 25,High,Male,0,-1.0,9,1,1,2013-03-03 04:32:45,2013-03-04 07:27:23,1
430,26,M,African-American,25 - 45,High,Male,1,-1.0,8,1,1,2014-07-14 06:15:12,2014-07-16 02:43:22,1
432,34,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,0,0,2014-01-19 03:20:12,2014-01-20 07:58:57,1
435,34,M,African-American,25 - 45,Low,Male,5,-1.0,4,0,0,2013-12-03 09:45:00,2013-12-04 08:51:32,0
437,23,F,Caucasian,Less than 25,Medium,Male,0,0.0,5,1,1,2014-02-27 12:30:23,2014-02-28 04:08:47,0
438,34,F,African-American,25 - 45,Low,Male,5,-1.0,4,1,1,2013-01-30 11:54:49,2013-02-02 07:32:19,2
440,39,F,African-American,25 - 45,Low,Male,6,-1.0,3,1,1,2013-11-04 06:35:23,2013-11-07 03:15:19,2
445,58,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,0,2013-02-22 07:47:53,2013-02-24 02:27:52,1
446,21,M,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,2013-01-01 04:17:22,2013-01-02 01:14:43,0
451,23,M,African-American,Less than 25,High,Male,4,-11.0,8,1,1,2013-11-25 06:26:46,2013-12-06 10:30:18,11
452,62,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,2013-01-05 04:35:31,2013-01-07 03:18:03,1
456,37,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,0,0,2013-12-01 04:23:01,2013-12-12 03:25:01,10
459,32,F,African-American,25 - 45,Low,Female,5,0.0,1,0,0,2013-12-01 12:02:58,2013-12-01 09:53:20,-1
462,27,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0,2013-04-08 12:40:45,2013-04-09 07:53:30,0
463,44,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,1,1,2014-01-01 04:24:33,2014-01-02 09:45:19,1
464,28,M,Caucasian,25 - 45,Low,Male,3,-1.0,3,1,1,2013-02-17 01:53:58,2013-02-18 01:13:47,0
465,42,F,Caucasian,25 - 45,Low,Female,0,-3.0,2,0,0,2013-05-25 04:27:15,2013-05-26 07:10:19,1
